original_filename,extracted_title,title_source,new_filename,status,error
aewc-mesifai-vi copy.pdf,"""Assistance for Energy and Water Conservation"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to",first-line,Assistance for Energy and Water Conservation under Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to.pdf,planned,
aewc-mesifai-vi.pdf,"""Assistance for Energy and Water Conservation"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to",first-line,Assistance for Energy and Water Conservation under Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to (2).pdf,planned,
afag copy.pdf,Amar Fasal Amar GolaAre you sure you want to sign out?CancelSign OutEngEnglish/à¤¹à¤¿à¤‚à¤¦à¥€Sign,first-line,Amar Fasal Amar GolaAre you sure you want to sign out CancelSign OutEngEnglish à¤¹à¤¿à¤‚à¤¦à¥€Sign.pdf,planned,
afag.pdf,Amar Fasal Amar GolaAre you sure you want to sign out?CancelSign OutEngEnglish/à¤¹à¤¿à¤‚à¤¦à¥€Sign,first-line,Amar Fasal Amar GolaAre you sure you want to sign out CancelSign OutEngEnglish à¤¹à¤¿à¤‚à¤¦à¥€Sign (2).pdf,planned,
affdf copy.pdf,Financial Assistance For Procuring Mobility Equipment To Disabled Ex-Servicemen (All Ranks)Are you sure you want to sign out?,first-line,Financial Assistance For Procuring Mobility Equipment To Disabled Ex-Servicemen (All Ranks)Are you sure you want to sign out.pdf,planned,
affdf-serious-disease-treatment copy.pdf,AFFDF-Financial Assistance For Treatment Of Serious Diseases To Non Pensioner Ex-Servicemen (All Ranks)/WidowsAre you sure,first-line,AFFDF-Financial Assistance For Treatment Of Serious Diseases To Non Pensioner Ex-Servicemen (All Ranks) WidowsAre you sure.pdf,planned,
affdf-serious-disease-treatment.pdf,AFFDF-Financial Assistance For Treatment Of Serious Diseases To Non Pensioner Ex-Servicemen (All Ranks)/WidowsAre you sure,first-line,AFFDF-Financial Assistance For Treatment Of Serious Diseases To Non Pensioner Ex-Servicemen (All Ranks) WidowsAre you sure (2).pdf,planned,
affdf.pdf,Financial Assistance For Procuring Mobility Equipment To Disabled Ex-Servicemen (All Ranks)Are you sure you want to sign out?,first-line,Financial Assistance For Procuring Mobility Equipment To Disabled Ex-Servicemen (All Ranks)Are you sure you want to sign out (2).pdf,planned,
afm copy.pdf,Assistance for MarriageAre you sure you want to sign out?CancelSign OutEngEnglish/à¤¹à¤¿à¤‚à¤¦à¥€Sign,first-line,Assistance for MarriageAre you sure you want to sign out CancelSign OutEngEnglish à¤¹à¤¿à¤‚à¤¦à¥€Sign.pdf,planned,
afm.pdf,Assistance for MarriageAre you sure you want to sign out?CancelSign OutEngEnglish/à¤¹à¤¿à¤‚à¤¦à¥€Sign,first-line,Assistance for MarriageAre you sure you want to sign out CancelSign OutEngEnglish à¤¹à¤¿à¤‚à¤¦à¥€Sign (2).pdf,planned,
